Procedure Code,Description,Cost,Requires Tooth Number,Requires Surface Code,Procedure Type,Auto Add,Number of Surfaces,Treatment Areas
5740,Reline maxil partial - chairside,347,TRUE,FALSE,,FALSE,,
5741,Reline mand partial - chairside,350,TRUE,FALSE,,FALSE,,
5750,Reline Maxillary Denture,438,FALSE,FALSE,,FALSE,,Surgery
5751,Reline Mandibular Denture,440,FALSE,FALSE,,FALSE,,Surgery
5760,Reline maxillary partial (lab),434,TRUE,FALSE,,FALSE,,
5761,Reline maxillary partial (lab),436,TRUE,FALSE,,FALSE,,
5810,Interim comp denture (maxil),800,TRUE,FALSE,,FALSE,,
5811,Interim comp denture (mand),800,TRUE,FALSE,,FALSE,,
5820,Upper Flipper Partial Denture,650,FALSE,FALSE,,FALSE,,Surgery
5821,Lower Flipper Partial Denture,650,FALSE,FALSE,,FALSE,,Surgery
5850,Tissue condition maxillary,191,TRUE,FALSE,,FALSE,,
5999,Misc.,0,FALSE,FALSE,,FALSE,,
6930,Recement Fixed Partial,157,TRUE,FALSE,,FALSE,,
7111,Removal of primary tooth,127,TRUE,FALSE,,FALSE,,
7130,Root Removal - exposed,0,TRUE,FALSE,,FALSE,,
7140,Extraction Simple,175,TRUE,FALSE,,FALSE,,Surgery
7210,Surgical Removal,295,TRUE,FALSE,,FALSE,,Surgery
7220,Ext. Impact Soft Tissue,346,TRUE,FALSE,,FALSE,,Surgery
7230,Ext. Impact Part Bony,425,TRUE,FALSE,,FALSE,,Surgery
7240,Ext. Impact Comp Bony,485,TRUE,FALSE,,FALSE,,Surgery
7241,Extraction - Complicated Bony,545,TRUE,FALSE,,FALSE,,
7250,Extraction Roots,300,TRUE,FALSE,,FALSE,,Surgery
7286,Biopsy of oral tissue - soft,280,FALSE,FALSE,,FALSE,,
7310,Alveoloplasty in conjunction w/extractions per quadrant,286,TRUE,FALSE,,FALSE,,Surgery
7472,Removal of torus palatinus,768,TRUE,FALSE,,FALSE,,
7473,Removal of torus mandibularis,737,TRUE,FALSE,,FALSE,,
7510,Incision and Drainage,215,TRUE,FALSE,,FALSE,,
7944,Osteotomy - segmented or subapical - per quadrant,6200,TRUE,FALSE,,FALSE,,
9110,Palliative treatment of dental pain - minor,117,TRUE,FALSE,,FALSE,,
9940,Occusal Guard,569,TRUE,FALSE,,FALSE,,
9951,Occlusal Adjustment,150,TRUE,FALSE,,FALSE,,
9971,Odontoplasty 1 - 2 teeth,173,TRUE,FALSE,,FALSE,,
9999,Reshape and polish occusal,0,TRUE,FALSE,,FALSE,,
1203,Fluoride - Child,275,FALSE,FALSE,,FALSE,,"Hygiene, Pediatrics"
1204,Fluoride - Adult,35,FALSE,FALSE,,FALSE,,Hygiene
